@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
146,5,12,22,0,0,?
547,31,31,158,0,9,?
573,36,32,176,0,10,?
38,6,1,10,0,0,?
37,6,1,11,0,0,?
53,8,1,11,0,0,?
52,8,1,12,0,0,?
148,21,10,35,0,4,?
84,5,7,5,0,3,?
23,3,1,5,0,0,?
205,7,15,55,1,11,?
39,0,4,0,0,0,?
180,17,14,67,0,9,?
79,0,5,0,0,0,?
26,0,1,7,0,0,?
22,0,1,10,0,0,?
30,1,1,4,0,2,?
47,3,3,7,0,1,?
26,0,1,0,0,0,?
169,0,13,0,0,0,?
206,20,27,30,0,17,?
37,6,0,1,0,0,?
12,0,0,0,0,0,?
58,11,0,0,0,0,?
61,8,3,16,0,10,?
91,9,4,19,0,8,?
35,0,2,3,0,0,?
38,4,3,5,0,2,?
11,2,0,0,0,0,?
178,22,2,38,4,15,?
72,3,2,10,0,3,?
148,4,14,117,0,0,?
28,3,2,2,0,0,?
29,3,4,4,0,1,?
123,11,11,36,1,7,?
29,0,0,0,0,0,?
24,1,2,0,0,0,?
112,7,3,36,1,15,?
992,71,97,261,0,58,?
30,0,2,0,0,0,?
73,9,4,37,0,4,?
39,4,2,14,0,1,?
56,4,4,20,0,1,?
154,10,11,27,0,3,?
61,5,5,20,0,2,?
139,16,4,37,0,13,?
26,1,2,1,0,0,?
103,6,4,26,0,10,?
98,6,4,80,1,3,?
35,4,1,10,0,1,?
102,10,4,20,0,4,?
17,0,1,1,0,0,?
33,0,2,1,0,0,?
40,3,2,14,0,1,?
103,7,4,28,0,7,?
54,3,3,51,0,4,?
141,14,6,41,0,4,?
112,7,11,17,0,1,?
108,8,3,36,0,4,?
79,6,2,24,0,2,?
27,1,2,2,0,0,?
488,28,26,231,1,28,?
192,25,12,124,0,16,?
185,26,8,52,0,3,?
13,0,0,0,0,0,?
187,16,9,50,0,4,?
123,4,8,24,0,5,?
62,4,3,11,0,1,?
324,31,39,96,1,8,?
29,1,1,4,0,2,?
47,3,3,7,0,1,?
82,22,4,25,0,0,?
60,2,1,40,0,0,?
127,8,4,57,0,0,?
519,98,30,490,2,0,?
100,27,6,32,2,0,?
311,56,18,284,0,0,?
110,9,2,90,0,0,?
122,9,9,55,0,0,?
176,14,2,89,0,0,?
240,16,12,298,0,0,?
85,5,4,50,0,0,?
281,35,14,143,0,0,?
122,4,3,266,0,0,?
81,8,3,31,0,2,?
149,15,9,17,0,1,?
520,52,34,70,5,16,?
1646,203,28,570,3,66,?
180,18,15,56,0,5,?
46,3,3,3,0,0,?
38,0,3,0,0,0,?
236,32,10,121,2,10,?
362,45,22,109,0,15,?
812,72,20,360,1,40,?
35,2,4,3,0,0,?
1013,96,60,324,2,50,?
12,0,1,0,0,0,?
38,3,2,0,0,0,?
53,6,2,11,0,1,?
56,2,4,6,0,0,?
47,5,4,6,0,0,?
74,8,9,14,0,0,?
12,1,1,0,0,0,?
36,0,6,0,0,0,?
78,6,4,28,0,2,?
40,2,3,3,0,0,?
32,2,2,12,0,1,?
45,4,2,14,0,2,?
146,10,6,31,0,3,?
38,1,5,9,0,1,?
10,0,1,0,0,0,?
209,19,2,36,0,2,?
